letter,index,value,frequency
a,0,1,12
b,1,3,2
c,2,3,4
C,3,5,1
d,4,2,4
e,5,1,12
f,6,4,1
g,7,2,2
h,8,4,2
i,9,1,6
j,10,8,1
l,11,1,4
L,12,8,1
m,13,3,2
n,14,1,5
ñ,15,8,1
o,16,1,9
p,17,3,2
q,18,5,1
r,19,1,5
R,20,8,1
s,21,1,6
t,22,1,4
u,23,1,5
v,24,4,1
x,25,8,1
y,26,4,1
z,27,10,1
#,28,0,2
